,data,servico,id_veiculo_amostra,hora_inicio,hora_fim,sentido_amostra,datetime_partida_amostra,datetime_chegada_amostra,status,servico_informado,id_veiculo_apurada,sentido_apurada,datetime_partida_apurada,datetime_chegada_apurada
0,2023-07-06,844,47689,10:31:00,10:37:00,V,2023-07-06 10:31:00,2023-07-06 10:37:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 10:32:06,2023-07-06 10:43:06
1,2023-07-06,844,47689,10:52:00,10:57:00,V,2023-07-06 10:52:00,2023-07-06 10:57:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 10:53:06,2023-07-06 11:04:36
2,2023-07-06,844,47689,11:09:00,11:16:00,V,2023-07-06 11:09:00,2023-07-06 11:16:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 11:11:36,2023-07-06 11:22:36
3,2023-07-06,844,47689,11:27:00,11:34:00,V,2023-07-06 11:27:00,2023-07-06 11:34:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 11:28:06,2023-07-06 11:40:06
4,2023-07-06,844,47689,11:44:00,11:49:00,V,2023-07-06 11:44:00,2023-07-06 11:49:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 11:45:36,2023-07-06 12:00:06
5,2023-07-06,844,47689,12:05:00,12:09:00,V,2023-07-06 12:05:00,2023-07-06 12:09:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 12:05:36,2023-07-06 12:13:06
6,2023-07-06,844,47689,12:17:00,12:22:00,V,2023-07-06 12:17:00,2023-07-06 12:22:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 12:18:06,2023-07-06 12:28:06
7,2023-07-06,844,47689,12:34:00,12:39:00,V,2023-07-06 12:34:00,2023-07-06 12:39:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 12:35:06,2023-07-06 12:45:36
8,2023-07-06,844,47689,12:52:00,12:59:00,V,2023-07-06 12:52:00,2023-07-06 12:59:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 12:54:06,2023-07-06 13:04:06
9,2023-07-06,844,47689,13:10:00,13:15:00,V,2023-07-06 13:10:00,2023-07-06 13:15:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 13:11:06,2023-07-06 13:21:06
10,2023-07-06,844,47689,13:29:00,13:37:00,V,2023-07-06 13:29:00,2023-07-06 13:37:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 13:30:36,2023-07-06 13:42:06
11,2023-07-06,844,47689,13:50:00,13:57:00,V,2023-07-06 13:50:00,2023-07-06 13:57:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 13:52:06,2023-07-06 14:01:36
12,2023-07-06,844,47689,14:09:00,14:17:00,V,2023-07-06 14:09:00,2023-07-06 14:17:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 14:10:36,2023-07-06 14:21:36
13,2023-07-06,844,47689,14:31:00,14:37:00,V,2023-07-06 14:31:00,2023-07-06 14:37:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 14:32:36,2023-07-06 14:45:06
14,2023-07-06,844,47689,14:52:00,14:58:00,V,2023-07-06 14:52:00,2023-07-06 14:58:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 14:53:06,2023-07-06 15:02:36
15,2023-07-06,844,47689,15:09:00,15:17:00,V,2023-07-06 15:09:00,2023-07-06 15:17:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 15:11:36,2023-07-06 15:24:06
16,2023-07-06,844,47689,15:36:00,15:43:00,V,2023-07-06 15:36:00,2023-07-06 15:43:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 15:38:06,2023-07-06 15:48:36
17,2023-07-06,844,47689,15:57:00,16:03:00,V,2023-07-06 15:57:00,2023-07-06 16:03:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 15:59:06,2023-07-06 16:07:06
18,2023-07-06,844,47689,16:13:00,16:23:00,V,2023-07-06 16:13:00,2023-07-06 16:23:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 16:14:36,2023-07-06 16:26:36
19,2023-07-06,844,47689,16:33:00,16:43:00,V,2023-07-06 16:33:00,2023-07-06 16:43:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 16:35:06,2023-07-06 16:47:36
20,2023-07-06,844,47689,16:57:00,17:06:00,V,2023-07-06 16:57:00,2023-07-06 17:06:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 16:58:36,2023-07-06 17:11:06
21,2023-07-06,844,47689,17:24:00,17:39:00,V,2023-07-06 17:24:00,2023-07-06 17:39:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 17:26:36,2023-07-06 17:43:06
22,2023-07-06,844,47689,17:57:00,18:09:00,V,2023-07-06 17:57:00,2023-07-06 18:09:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 18:00:36,2023-07-06 18:15:06
23,2023-07-06,844,47689,18:26:00,18:39:00,V,2023-07-06 18:26:00,2023-07-06 18:39:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-06 18:28:06,2023-07-06 18:46:06
24,2023-07-11,844,47689,10:28:00,10:36:00,V,2023-07-11 10:28:00,2023-07-11 10:36:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 10:31:00,2023-07-11 10:42:30
25,2023-07-11,844,47689,10:48:00,10:54:00,V,2023-07-11 10:48:00,2023-07-11 10:54:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 10:50:00,2023-07-11 11:03:00
26,2023-07-11,844,47689,11:15:00,11:20:00,V,2023-07-11 11:15:00,2023-07-11 11:20:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 11:16:00,2023-07-11 11:25:30
27,2023-07-11,844,47689,11:31:00,11:39:00,V,2023-07-11 11:31:00,2023-07-11 11:39:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 11:32:30,2023-07-11 11:43:30
28,2023-07-11,844,47689,11:47:00,11:56:00,V,2023-07-11 11:47:00,2023-07-11 11:56:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 11:51:00,2023-07-11 12:03:00
29,2023-07-11,844,47689,12:09:00,12:14:00,V,2023-07-11 12:09:00,2023-07-11 12:14:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 12:09:30,2023-07-11 12:18:00
30,2023-07-11,844,47689,12:22:00,12:27:00,V,2023-07-11 12:22:00,2023-07-11 12:27:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 12:23:00,2023-07-11 12:31:00
31,2023-07-11,844,47689,12:38:00,12:44:00,V,2023-07-11 12:38:00,2023-07-11 12:44:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 12:39:30,2023-07-11 12:50:00
32,2023-07-11,844,47689,12:57:00,13:04:00,V,2023-07-11 12:57:00,2023-07-11 13:04:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 12:59:30,2023-07-11 13:08:30
33,2023-07-11,844,47689,13:16:00,13:22:00,V,2023-07-11 13:16:00,2023-07-11 13:22:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 13:17:00,2023-07-11 13:27:00
34,2023-07-11,844,47689,13:35:00,13:43:00,V,2023-07-11 13:35:00,2023-07-11 13:43:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 13:35:30,2023-07-11 13:49:30
35,2023-07-11,844,47689,13:55:00,14:02:00,V,2023-07-11 13:55:00,2023-07-11 14:02:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 13:57:00,2023-07-11 14:09:30
36,2023-07-11,844,47689,14:17:00,14:23:00,V,2023-07-11 14:17:00,2023-07-11 14:23:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 14:18:00,2023-07-11 14:28:30
37,2023-07-11,844,47689,14:37:00,14:44:00,V,2023-07-11 14:37:00,2023-07-11 14:44:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 14:38:30,2023-07-11 14:51:30
38,2023-07-11,844,47689,15:00:00,15:09:00,V,2023-07-11 15:00:00,2023-07-11 15:09:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 15:01:30,2023-07-11 15:15:30
39,2023-07-11,844,47689,15:23:00,15:28:00,V,2023-07-11 15:23:00,2023-07-11 15:28:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 15:24:00,2023-07-11 15:34:00
40,2023-07-11,844,47689,15:42:00,15:48:00,V,2023-07-11 15:42:00,2023-07-11 15:48:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-11 15:43:30,2023-07-11 15:52:30
