data,km_planejada,pod_apuracao,pod_gabarito,pod_solucao,servico
2023-01-02,312.18,76.67,93.54,96.68,010
2023-01-03,312.18,63.33,90.2,93.34,010
2023-01-04,312.18,70.0,96.87,91.58,010
2023-01-05,312.18,73.33,91.77,98.44,010
2023-01-06,312.18,70.0,93.34,100.01,010
2023-01-07,166.5,81.25,169.12,175.01,010
2023-01-08,145.68,71.43,110.93,114.3,010
2023-01-09,312.18,80.0,96.87,100.01,010
2023-01-10,312.18,63.33,86.87,90.01,010
2023-01-11,312.18,76.67,96.87,100.01,010
2023-01-12,312.18,86.67,95.11,100.01,010
2023-01-13,312.18,86.67,96.87,100.01,010
2023-01-14,166.5,62.5,90.81,100.01,010
2023-01-15,145.68,85.72,110.93,114.3,010
