data,servico,sentido,id_veiculo,datetime_partida,datetime_chegada,extensao
2023-01-02,010,I,A72037,2023-01-02 06:07:00,2023-01-02 06:22:00,5.505
2023-01-02,010,V,A72037,2023-01-02 06:29:00,2023-01-02 06:56:00,4.902
2023-01-02,010,I,A72085,2023-01-02 06:33:00,2023-01-02 06:52:00,5.505
2023-01-02,010,I,A72037,2023-01-02 06:58:00,2023-01-02 07:16:00,5.505
2023-01-02,010,V,A72085,2023-01-02 07:03:00,2023-01-02 07:29:00,4.902
2023-01-02,010,V,A72037,2023-01-02 07:28:00,2023-01-02 07:58:00,4.902
2023-01-02,010,I,A72085,2023-01-02 07:31:00,2023-01-02 07:54:00,5.505
2023-01-02,010,V,A72085,2023-01-02 08:02:00,2023-01-02 08:30:00,4.902
2023-01-02,010,I,A72037,2023-01-02 08:02:00,2023-01-02 08:24:00,5.505
2023-01-02,010,I,A72085,2023-01-02 08:31:00,2023-01-02 08:54:00,5.505
2023-01-02,010,V,A72037,2023-01-02 08:31:00,2023-01-02 09:02:00,4.902
2023-01-02,010,V,A72085,2023-01-02 09:03:00,2023-01-02 09:31:00,4.902
2023-01-02,010,I,A72037,2023-01-02 09:05:00,2023-01-02 09:33:00,5.505
2023-01-02,010,V,A72037,2023-01-02 09:34:00,2023-01-02 10:01:00,4.902
2023-01-02,010,I,A72085,2023-01-02 09:36:00,2023-01-02 09:58:00,5.505
2023-01-02,010,V,A72085,2023-01-02 10:00:00,2023-01-02 10:27:00,4.902
2023-01-02,010,I,A72037,2023-01-02 10:03:00,2023-01-02 10:26:00,5.505
2023-01-02,010,V,A72037,2023-01-02 10:30:00,2023-01-02 10:57:00,4.902
2023-01-02,010,I,A72085,2023-01-02 10:32:00,2023-01-02 10:54:00,5.505
2023-01-02,010,I,A72037,2023-01-02 10:58:00,2023-01-02 11:22:00,5.505
2023-01-02,010,V,A72085,2023-01-02 11:02:00,2023-01-02 11:29:00,4.902
2023-01-02,010,V,A72037,2023-01-02 11:29:00,2023-01-02 11:57:00,4.902
2023-01-02,010,I,A72085,2023-01-02 11:33:00,2023-01-02 12:00:00,5.505
2023-01-02,010,I,A72037,2023-01-02 11:59:00,2023-01-02 12:22:00,5.505
2023-01-02,010,V,A72085,2023-01-02 12:06:00,2023-01-02 12:31:00,4.902
2023-01-02,010,V,A72037,2023-01-02 12:33:00,2023-01-02 12:57:00,4.902
2023-01-02,010,I,A72085,2023-01-02 12:38:00,2023-01-02 13:00:00,5.505
2023-01-02,010,I,A72037,2023-01-02 12:59:00,2023-01-02 13:23:00,5.505
2023-01-02,010,V,A72085,2023-01-02 13:06:00,2023-01-02 13:29:00,4.902
2023-01-02,010,V,A72037,2023-01-02 13:30:00,2023-01-02 14:01:00,4.902
2023-01-02,010,I,A72085,2023-01-02 13:32:00,2023-01-02 13:57:00,5.505
2023-01-02,010,I,A72037,2023-01-02 14:04:00,2023-01-02 14:33:00,5.505
