data,servico,sentido,id_veiculo,datetime_partida,datetime_chegada,extensao,datetime_partida_gabarito,datetime_chegada_gabarito
2023-01-02,010,I,A72037,2023-01-02 06:07:57,2023-01-02 06:19:58,5.505,2023-01-02 06:07:00,2023-01-02 06:22:00
2023-01-02,010,V,A72037,2023-01-02 06:32:00,2023-01-02 06:43:21,4.902,2023-01-02 06:29:00,2023-01-02 06:56:00
2023-01-02,010,I,A72085,2023-01-02 06:35:11,2023-01-02 06:47:51,5.505,2023-01-02 06:33:00,2023-01-02 06:52:00
2023-01-02,010,I,A72037,2023-01-02 07:00:04,2023-01-02 07:13:44,5.505,2023-01-02 06:58:00,2023-01-02 07:16:00
2023-01-02,010,V,A72085,2023-01-02 07:05:29,2023-01-02 07:21:50,4.902,2023-01-02 07:03:00,2023-01-02 07:29:00
2023-01-02,010,V,A72037,2023-01-02 07:31:27,2023-01-02 07:47:47,4.902,2023-01-02 07:28:00,2023-01-02 07:58:00
2023-01-02,010,I,A72085,2023-01-02 07:33:10,2023-01-02 07:50:11,5.505,2023-01-02 07:31:00,2023-01-02 07:54:00
2023-01-02,010,I,A72037,2023-01-02 08:03:43,2023-01-02 08:22:04,5.505,2023-01-02 08:02:00,2023-01-02 08:24:00
2023-01-02,010,V,A72085,2023-01-02 08:05:45,2023-01-02 08:25:06,4.902,2023-01-02 08:02:00,2023-01-02 08:30:00
2023-01-02,010,I,A72085,2023-01-02 08:33:06,2023-01-02 08:52:47,5.505,2023-01-02 08:31:00,2023-01-02 08:54:00
2023-01-02,010,V,A72037,2023-01-02 08:34:25,2023-01-02 08:49:45,4.902,2023-01-02 08:31:00,2023-01-02 09:02:00
2023-01-02,010,V,A72085,2023-01-02 09:06:17,2023-01-02 09:21:18,4.902,2023-01-02 09:03:00,2023-01-02 09:31:00
2023-01-02,010,I,A72037,2023-01-02 09:07:13,2023-01-02 09:29:14,5.505,2023-01-02 09:05:00,2023-01-02 09:33:00
2023-01-02,010,V,A72037,2023-01-02 09:37:34,2023-01-02 09:51:55,4.902,2023-01-02 09:34:00,2023-01-02 10:01:00
2023-01-02,010,I,A72085,2023-01-02 09:37:58,2023-01-02 09:56:39,5.505,2023-01-02 09:36:00,2023-01-02 09:58:00
2023-01-02,010,V,A72085,2023-01-02 10:03:59,2023-01-02 10:20:40,4.902,2023-01-02 10:00:00,2023-01-02 10:27:00
2023-01-02,010,I,A72037,2023-01-02 10:05:17,2023-01-02 10:24:38,5.505,2023-01-02 10:03:00,2023-01-02 10:26:00
2023-01-02,010,V,A72037,2023-01-02 10:33:58,2023-01-02 10:49:39,4.902,2023-01-02 10:30:00,2023-01-02 10:57:00
2023-01-02,010,I,A72085,2023-01-02 10:34:20,2023-01-02 10:52:21,5.505,2023-01-02 10:32:00,2023-01-02 10:54:00
2023-01-02,010,I,A72037,2023-01-02 11:01:03,2023-01-02 11:20:44,5.505,2023-01-02 10:58:00,2023-01-02 11:22:00
2023-01-02,010,V,A72085,2023-01-02 11:05:23,2023-01-02 11:18:43,4.902,2023-01-02 11:02:00,2023-01-02 11:29:00
2023-01-02,010,V,A72037,2023-01-02 11:33:07,2023-01-02 11:46:47,4.902,2023-01-02 11:29:00,2023-01-02 11:57:00
2023-01-02,010,I,A72085,2023-01-02 11:34:40,2023-01-02 11:58:00,5.505,2023-01-02 11:33:00,2023-01-02 12:00:00
2023-01-02,010,I,A72037,2023-01-02 12:02:48,2023-01-02 12:20:08,5.505,2023-01-02 11:59:00,2023-01-02 12:22:00
2023-01-02,010,V,A72085,2023-01-02 12:09:37,2023-01-02 12:21:17,4.902,2023-01-02 12:06:00,2023-01-02 12:31:00
2023-01-02,010,V,A72037,2023-01-02 12:37:51,2023-01-02 12:51:11,4.902,2023-01-02 12:33:00,2023-01-02 12:57:00
2023-01-02,010,I,A72085,2023-01-02 12:39:38,2023-01-02 12:58:18,5.505,2023-01-02 12:38:00,2023-01-02 13:00:00
2023-01-02,010,I,A72037,2023-01-02 13:01:52,2023-01-02 13:20:32,5.505,2023-01-02 12:59:00,2023-01-02 13:23:00
2023-01-02,010,V,A72085,2023-01-02 13:09:55,2023-01-02 13:24:15,4.902,2023-01-02 13:06:00,2023-01-02 13:29:00
2023-01-02,010,V,A72037,2023-01-02 13:33:48,2023-01-02 13:44:49,4.902,2023-01-02 13:30:00,2023-01-02 14:01:00
2023-01-02,010,I,A72085,2023-01-02 13:34:51,2023-01-02 13:54:52,5.505,2023-01-02 13:32:00,2023-01-02 13:57:00
2023-01-02,010,I,A72037,2023-01-02 14:06:10,2023-01-02 14:28:51,5.505,2023-01-02 14:04:00,2023-01-02 14:33:00
